task,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,shapiro_W_diff,shapiro_p_diff,levene_stat_AB,levene_p_AB,t,df,p,cohen_dz,ci95_low,ci95_high
tick-note,reaction_time_ms,12,23771.833333333332,11959.416666666666,-11812.416666666666,0.9177747039937225,0.2680162814187472,4.9133279543825745,0.03729667961616338,-1.7359873143255375,11,0.11045265326943667,-0.5011363716178123,-26788.88197468278,3164.0486413494455
tick-note,clicks,12,5.666666666666667,4.416666666666667,-1.25,0.9253267748611388,0.3331950132202751,5.663829787234041,0.026412592095689694,-2.158938847941864,11,0.05380358204027797,-0.6232319625115879,-2.5243443163002612,0.024344316300261237
tick-note,error_score,12,0.7916666666666666,0.20833333333333334,-0.5833333333333334,0.764477074912848,0.0038009290159601882,7.4018691588785055,0.012485982612756703,-2.645751311064591,11,0.022758351113340573,-0.7637626158259735,-1.0686049477455135,-0.09806171892115328
add-plant,reaction_time_ms,12,5751.416666666667,4393.916666666667,-1357.5,0.9491124811228474,0.6240474561495911,0.023763490039498656,0.8788936217514559,-1.310539641559048,11,0.21671645266788622,-0.378320207418896,-3637.352711109143,922.352711109143
add-plant,clicks,12,3.5,3.25,-0.25,0.7868933105017387,0.0066732763597505485,0.42857142857142855,0.5194770787095719,-0.6089224226894034,11,0.5549427659576156,-0.17578076232766307,-1.153639395627211,0.6536393956272112
add-plant,error_score,12,0.3333333333333333,0.25,-0.08333333333333333,0.7135020870270246,0.0011403835502356626,0.07096774193548383,0.792413840701155,-0.32063022053099893,11,0.7544993470226689,-0.09255797206695066,-0.6553799411168431,0.48871327445017637
sign-up,reaction_time_ms,12,173760.75,193680.08333333334,19919.333333333332,0.8750426939148775,0.07574826220010794,0.011224522570441308,0.9165854258569295,0.32691948848009805,11,0.7498652277194502,0.09437352733865967,-114187.56029180576,154026.22695847243
sign-up,clicks,12,11.333333333333334,16.416666666666668,5.083333333333333,0.8746325935701471,0.07484184574202649,0.6131968145620023,0.441935323305944,2.016397467365778,11,0.06884069996724689,0.5820838102884559,-0.4653451447656689,10.632011811432335
sign-up,error_score,12,1.125,0.75,-0.375,0.6314298178640898,0.00019868972844175228,0.4682884448305824,0.500921462580078,-1.4723733261910281,11,0.16894611941615198,-0.42503756811200744,-0.9355707603855897,0.18557076038558973
kiwi-favourites,reaction_time_ms,12,33451.083333333336,8349.75,-25101.333333333332,0.6363146928936102,0.00021919777886690733,2.7672086425532676,0.11039545622369479,-1.9201066843567458,11,0.08113807879403818,-0.5542870555430834,-53874.55860007873,3671.891933412069
kiwi-favourites,clicks,12,8.583333333333334,4.666666666666667,-3.9166666666666665,0.6564313483635293,0.0003308794613327045,2.224163754368447,0.15006685214573018,-1.4124997683884808,11,0.18546485311327507,-0.4077535607546867,-10.019694364996178,2.186361031662846
kiwi-favourites,error_score,12,0.5,0.08333333333333333,-0.4166666666666667,0.7787520551638006,0.005425904264104808,2.3109243697478994,0.14271042798205685,-1.448874266878039,11,0.1752736470089181,-0.4182539740019787,-1.0496250751379927,0.21629174180465943
