task,subjective_item,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,shapiro_W_diff,shapiro_p_diff,levene_stat_AB,levene_p_AB,t,df,p,cohen_dz,ci95_low,ci95_high
add-plant,confidence,12,6.5,6.75,0.25,0.7810475007905651,0.005750204207347698,0.7333333333333333,0.401036456379406,1.1489125293076057,11,0.27496148552409855,0.33166247903553997,-0.2289279218256452,0.7289279218256453
add-plant,error_recovery_ease,12,6.666666666666667,6.916666666666667,0.25,0.3269275361845081,1.207284557509645e-06,0.8608695652173912,0.3635637814137148,1.0,11,0.3388006961962018,0.2886751345948129,-0.3002462900207372,0.8002462900207372
add-plant,group,12,0.4166666666666667,0.4166666666666667,0.0,1.0,1.0,0.0,1.0,,11,,,0.0,0.0
add-plant,navigation_clarity,12,7.0,6.666666666666667,-0.3333333333333333,0.4500169051157832,7.741740546206787e-06,1.6923076923076923,0.2067583803731632,-1.3008872711759818,11,0.21988784312755902,-0.37553380809940534,-0.8973035837028607,0.2306369170361941
add-plant,outcome_certainty,12,6.75,6.833333333333333,0.08333333333333333,0.5827841474190201,7.735903293289307e-05,0.092436974789916,0.7639586552099238,0.2897748533756077,11,0.777377691724836,0.08365079480039572,-0.5496250751354937,0.7162917418021605
add-plant,perceived_speed,12,6.833333333333333,6.416666666666667,-0.4166666666666667,0.6743340368243217,0.0004822530349160221,2.6699029126213603,0.11649262437102471,-2.1589388479418643,11,0.05380358204027793,-0.6232319625115879,-0.8414481054317433,0.008114772098409995
kiwi-favourites,clarity,12,6.583333333333333,6.916666666666667,0.3333333333333333,0.6080909793691343,0.00012539601197828986,3.8260869565217397,0.06327597531014684,2.3452078799117144,11,0.03881409182311226,0.67700320038633,0.020498924788164896,0.6461677418785017
kiwi-favourites,findability,12,5.083333333333333,6.666666666666667,1.5833333333333333,0.9312146213055673,0.3931642771695665,5.302788844621515,0.03112525572928274,3.2716210115364346,11,0.007443717316470679,0.9444356358484981,0.5181448051258,2.6485218615408668
kiwi-favourites,group,12,0.4166666666666667,0.4166666666666667,0.0,1.0,1.0,0.0,1.0,,11,,,0.0,0.0
kiwi-favourites,intuitiveness,12,6.75,6.75,0.0,0.5993671496715981,0.00010596834389877464,0.0,1.0,0.0,11,1.0,0.0,-0.8127676349339866,0.8127676349339866
kiwi-favourites,knowledge_independence,12,3.3333333333333335,7.0,3.6666666666666665,0.906232029928692,0.19084900295824994,37.125,3.92498153317901e-06,7.154879991467899,11,1.857024751601434e-05,2.0654359445467296,2.5387261659276117,4.794607167405721
sign-up,confidence,12,6.166666666666667,6.5,0.3333333333333333,0.5654004714390053,5.6022213682104996e-05,0.44897959183673486,0.5097927346381583,0.9380831519646861,11,0.3683425946590331,0.27080128015453203,-0.44875268802958773,1.1154193546962543
sign-up,ease,12,6.916666666666667,6.916666666666667,0.0,0.5993671496715981,0.00010596834389877464,0.0,1.0,0.0,11,1.0,0.0,-0.2709225449779955,0.2709225449779955
sign-up,flexibility_importance,12,6.166666666666667,3.9166666666666665,-2.25,0.8629649145122804,0.05325954594987665,4.479518072289157,0.04585045748567761,-2.3380029231614867,11,0.03931049816261125,-0.6749233085267081,-4.368139614423649,-0.13186038557635138
sign-up,group,12,0.4166666666666667,0.4166666666666667,0.0,1.0,1.0,0.0,1.0,,11,,,0.0,0.0
tick-note,confidence,12,5.916666666666667,7.0,1.0833333333333333,0.8302864660473024,0.021139578686526744,22.5593220338983,9.675685419709056e-05,3.2226502851434553,11,0.008120692207078393,0.9302990048157991,0.3434452353035713,1.8232214313630952
tick-note,easiness,12,5.25,6.5,1.25,0.8780978905338465,0.08286824940694715,7.568807339449541,0.011656258939751862,2.32210182006412,11,0.04042784770085491,0.6703330554498698,0.06519775475318457,2.434802245246815
tick-note,group,12,0.4166666666666667,0.4166666666666667,0.0,1.0,1.0,0.0,1.0,,11,,,0.0,0.0
