participant_id,condition,reaction_time,major_errors,minor_erros,clicks,confidence,outcome_certainty,perceived_speed,navigation_clarity,error_recovery_ease,group
2,A,6952,0,0,6,7,4,7,7,7,0
2,B,1862,0,0,3,7,7,7,7,7,0
3,A,4198,2,0,5,4,7,6,7,4,0
3,B,6498,0,0,3,6,7,6,6,7,0
12,A,4004,1,0,3,7,7,7,7,6,0
12,B,1805,3,0,6,6,7,5,4,6,0
5,A,5330,0,0,3,6,7,7,7,7,0
5,B,3831,0,0,3,7,7,7,7,7,0
11,A,4566,0,0,3,6,7,6,7,7,0
11,B,2282,0,0,3,7,7,5,7,7,0
7,A,5404,0,0,3,7,7,7,7,7,1
7,B,6329,0,0,3,7,6,6,7,7,1
10,A,5296,0,0,3,7,7,7,7,7,1
10,B,8947,0,0,3,7,6,6,7,7,1
6,A,1382,0,0,3,7,7,7,7,7,1
6,B,2449,0,0,3,7,7,7,7,7,1
8,A,8955,0,0,3,7,7,7,7,7,1
8,B,8109,0,0,3,7,7,7,7,7,1
9,A,10744,0,0,3,6,7,7,7,7,1
9,B,2989,0,0,3,6,7,7,7,7,1
4,A,2610,1,0,4,7,7,7,7,7,0
4,B,4433,0,0,3,7,7,7,7,7,0
1,A,9576,0,0,3,7,7,7,7,7,0
1,B,3193,0,0,3,7,7,7,7,7,0
