participant_id,condition,reaction_time,major_errors,minor_erros,clicks,ease,confidence,flexibility_importance,group
2,A,16174,0,0,5,7,7,6,0
2,B,66145,0,0,13,7,7,2,0
3,A,22847,0,0,5,7,7,6,0
3,B,63568,0,0,15,7,7,5,0
12,A,87229,2,2,30,7,7,7,0
12,B,92900,0,0,14,7,7,7,0
5,A,37995,0,0,5,7,4,7,0
5,B,55326,0,0,13,7,4,1,0
11,A,19497,0,0,7,7,7,7,0
11,B,63790,0,0,9,7,7,5,0
7,A,37412,0,6,12,7,7,7,1
7,B,90486,1,4,33,7,6,7,1
10,A,69353,0,5,17,7,3,3,1
10,B,66440,0,4,24,7,7,7,1
6,A,55927,0,1,5,7,5,7,1
6,B,53843,0,0,13,7,5,7,1
8,A,86915,0,4,15,7,6,7,1
8,B,66453,0,3,12,6,7,7,1
9,A,28211,0,4,18,7,7,3,1
9,B,97691,0,5,23,7,7,7,1
4,A,9962,0,0,5,7,7,7,0
4,B,55583,0,0,13,7,7,1,0
1,A,180200,0,1,12,6,7,7,0
1,B,46048,0,0,15,7,7,2,0
